"Date","Price","Open","High","Low","Vol.","Change %"
"29-05-2023","156.00","157.52","157.86","155.54","390.16K","-0.43%"
"26-05-2023","156.68","154.48","157.00","153.12","1.02M","1.98%"
"25-05-2023","153.64","153.00","155.16","150.90","921.00K","0.91%"
"24-05-2023","152.26","153.50","154.00","150.82","1.46M","-2.05%"
"23-05-2023","155.44","156.98","157.46","153.84","1.30M","-1.57%"
"22-05-2023","157.92","158.96","158.98","157.56","993.81K","-1.16%"
"19-05-2023","159.78","158.00","161.02","157.30","2.24M","1.29%"
"18-05-2023","157.74","153.88","157.96","153.52","1.20M","2.82%"
"17-05-2023","153.42","153.00","154.14","150.80","2.03M","2.55%"
"16-05-2023","149.60","149.78","151.12","149.18","1.23M","-0.68%"
"15-05-2023","150.62","149.88","151.64","149.82","888.36K","0.35%"
"12-05-2023","150.10","149.68","150.22","148.80","858.99K","0.83%"
"11-05-2023","148.86","149.32","150.92","147.10","817.71K","-0.20%"
"10-05-2023","149.16","150.60","151.10","147.52","1.15M","-0.98%"
"09-05-2023","150.64","149.50","150.76","149.00","906.86K","0.55%"
"08-05-2023","149.82","150.70","151.18","149.72","626.64K","-0.44%"
"05-05-2023","150.48","148.84","150.48","147.82","1.04M","1.33%"
"04-05-2023","148.50","148.78","149.86","147.70","943.24K","-0.66%"
"03-05-2023","149.48","148.12","150.44","147.56","1.05M","1.47%"
"02-05-2023","147.32","148.92","150.94","147.10","1.24M","-1.06%"
"28-04-2023","148.90","147.84","148.96","145.00","1.50M","1.05%"
"27-04-2023","147.36","146.06","148.46","144.10","1.17M","1.15%"
"26-04-2023","145.68","146.02","146.36","143.18","1.25M","-1.15%"
"25-04-2023","147.38","145.90","147.70","144.86","1.04M","1.18%"
"24-04-2023","145.66","145.06","146.28","145.00","699.54K","0.01%"
"21-04-2023","145.64","145.40","146.36","143.32","1.46M","-0.25%"
"20-04-2023","146.00","146.78","147.30","144.74","1.02M","-0.40%"
"19-04-2023","146.58","146.82","146.92","145.86","605.94K","-0.42%"
"18-04-2023","147.20","147.20","148.16","146.44","857.95K","0.10%"
"17-04-2023","147.06","146.18","147.80","146.02","742.56K","0.62%"
"14-04-2023","146.16","144.74","146.28","144.42","1.05M","1.30%"
"13-04-2023","144.28","145.00","145.74","143.28","1.01M","-0.37%"
"12-04-2023","144.82","143.02","145.90","143.00","913.84K","1.03%"
"11-04-2023","143.34","143.20","144.12","142.76","1.29M","1.57%"
"06-04-2023","141.12","143.80","144.02","139.98","1.65M","-1.96%"
"05-04-2023","143.94","148.80","149.10","143.18","1.71M","-2.45%"
"04-04-2023","147.56","148.64","149.90","147.30","919.75K","-0.47%"
"03-04-2023","148.26","148.76","149.18","147.52","874.28K","-0.67%"
"31-03-2023","149.26","148.94","149.76","148.34","1.54M","0.50%"
"30-03-2023","148.52","147.00","149.18","146.82","1.12M","1.52%"
"29-03-2023","146.30","144.20","146.44","144.20","1.22M","1.94%"
"28-03-2023","143.52","142.78","143.92","142.66","804.04K","1.31%"
"27-03-2023","141.66","142.50","142.98","140.76","1.03M","0.77%"
"24-03-2023","140.58","144.74","144.76","138.98","1.65M","-3.17%"
"23-03-2023","145.18","144.40","145.56","142.52","1.17M","0.17%"
"22-03-2023","144.94","142.90","146.12","142.46","1.23M","1.51%"
"21-03-2023","142.78","139.90","143.88","139.44","1.42M","2.85%"
"20-03-2023","138.82","137.78","139.90","134.66","1.45M","1.06%"
"17-03-2023","137.36","141.44","142.24","136.30","4.58M","-2.55%"
"16-03-2023","140.96","140.88","141.46","137.02","2.03M","2.07%"
"15-03-2023","138.10","144.84","145.58","137.70","2.52M","-5.14%"
"14-03-2023","145.58","141.86","146.04","141.20","1.59M","3.28%"
"13-03-2023","140.96","147.82","147.84","140.36","2.21M","-4.43%"
"10-03-2023","147.50","148.52","149.64","146.60","1.49M","-2.42%"
"09-03-2023","151.16","149.50","151.42","149.32","1.37M","0.89%"
"08-03-2023","149.82","147.74","150.06","147.72","1.72M","1.22%"
"07-03-2023","148.02","148.00","148.80","147.50","1.06M","0.34%"
"06-03-2023","147.52","147.22","147.86","147.10","751.36K","0.30%"
"03-03-2023","147.08","145.28","147.28","144.62","1.08M","1.81%"
